,sys ,n\d,Algorithm 1,mp-rc, NRSI ,mt-solve, mp-rt , IRA,mp-radical
da2[10],chandra5,5\2,1.06,0.23,1.32,0.06,0.69,1.69,1.23
da2[11],chandra6,6\2,1.94,OT,3.27,0.37,0.75,3.03,1.82
da2[12],tangents0,6\2,0.92,OT,1.07,0.1,0.69,1.38,0.76
da2[13],assur44,8\3,4.79,OT,5.95,10.65,2.79,6.33,7.11
da2[14],cyclic9,9\9,OT,OT,OT,OT,OT,OT,OT
da2[15],cyclic10,10\10,OT,LOSS,OT,OT,OT,OT,OT
da2[16],cyclic11,11\11,OT,LOSS,OT,OT,OT,OT,OT
da2[17],simple,2\2,0.43,0.11,0.43,0,2.04,0.89,0.3
da2[18],eg1,2\2,0.08,0.02,0.09,0,0.1,0.12,0.4
da2[19],eg2,2\2,0.24,0.02,0.24,0,0.15,0.36,0.44
da2[20],eg3,2\2,0.07,0.02,0.08,0.04,0.1,0.18,0.3
da2[21],eg4,2\3,0.18,0.03,0.18,0,0.19,0.35,0.31
da2[22],eg5,2\4,0.22,0.02,0.28,0,0.12,0.25,0.26
da2[23],baker1,2\2,0.46,0.02,0.46,0,0.1,0.72,0.36
da2[24],cbms1,3\3,1.21,0.14,1.23,0,0.11,2.52,3.83
da2[25],cbms2,3\2,0.89,0.05,0.9,0.01,0.15,1.79,1.07
da2[26],mth191,3\3,2.75,0.09,2.81,0.01,0.1,6.57,4.12
da2[27],decker1,2\3,0.56,0.03,0.57,0,0.1,1.16,1.17
da2[28],decker2,2\4,0.17,0.03,0.18,0,0.1,0.7,0.87
da2[29],decker3,2\3,0.18,0.02,0.18,0,0.15,0.66,0.71
da2[30],kss3,10\2,212.92,212.86,216.6,2.67,249.54,OT,540.37
da2[31],ojika1,2\2,0.09,0.05,0.23,0,0.19,0.11,0.81
da2[32],ojika2,3\2,0.04,0.03,0.52,0,0.1,0.05,1.31
da2[33],ojika3,3\3,0.04,0.01,0.8,0,0.15,0.05,0.97
da2[34],ojika4,3\6,0.11,0.05,2.64,0.01,0.16,0.12,2.13
xia[1],,4\3,0.01,0.03,0.3,0,0.19,0.01,0.51
xia[2],,4\6,0.28,0.29,5.16,0.26,0.38,0.49,4.33
xia[3],,5\5,0.09,0.6,1.66,0.05,0.22,0.17,11.93
xia[4],,4\2,0.12,0.06,0.67,0.02,0.19,0.14,0.45
xia[5],,3\2,0.02,0.01,0.31,0,0.18,0.02,0.49
xia[6],,5\6,0.1,0.2,2.81,0.11,0.25,0.16,3.06

